weights,nDCG5
"1.5,1.25,1",0.567621
"1.75,1.25,1",0.569741
"2.0,1.25,1",0.570092
"1.75,1.5,1",0.564162
"2.0,1.5,1",0.573502
"2.25,1.5,1",0.570092
"2.0,1.75,1",0.562758
"2.25,1.75,1",0.574949
"2.5,1.75,1",0.569741
"2.25,2.0,1",0.561372
"2.5,2.0,1",0.572176
"2.75,2.0,1",0.569741
"1.75,1.5,1.25",0.564162
"2.0,1.5,1.25",0.573502
"2.25,1.5,1.25",0.570092
"2.0,1.75,1.25",0.562758
"2.25,1.75,1.25",0.574949
"2.5,1.75,1.25",0.569741
"2.25,2.0,1.25",0.561372
"2.5,2.0,1.25",0.572176
"2.75,2.0,1.25",0.569741
"2.0,1.75,1.5",0.562413
"2.25,1.75,1.5",0.574949
"2.5,1.75,1.5",0.569741
"2.25,2.0,1.5",0.561372
"2.5,2.0,1.5",0.572176
"2.75,2.0,1.5",0.569741
